station,name,latitude,longitude,center
KABE,ALLENTOWN-BETHLEHEM,40.65083,-75.44917,KPHI
KABI,ABILENE,32.41062851,-99.68208563,KSJT
KABQ,ALBUQUERQUE INTL,35.0419,-106.6155,KABQ
KABR,ABERDEEN,45.45,-98.42,KABR
KABY,ALBANY MUNICIPAL,31.53552,-84.19447,KTAE
KACK,NANTUCKET MEMORIAL,41.25311,-70.06031,KBOX
KACT,WACO,31.61797,-97.2283,KFWD
KACV,ARCATA/EUREKA ARPT,40.97811,-124.10861,KEKA
KACY,ATLANTIC CITY INTL,39.45758,-74.57717,KPHI
KADF,ARKADELPHIA,34.0998056,-93.0660833,KLZK
KAEG,ALBUQUERQUE/DOUBLE EAGLE II APT,35.14517,-106.79517,KABQ
KAEX,ALEXANDRIA INTL/ENGLAND AFB,31.33472,-92.55861,KLCH
KAFW,FORT WORTH - ALLIANCE,32.9716046,-97.31787784,KFWD
KAGC,PITTSBURGH/ALLEGHEN,40.35472,-79.92167,KPBZ
KAGS,AUGUSTA/BUSH FIELD,33.36994,-81.9645,KCAE
KAHN,ATHENS MUNICIPAL,33.9486,-83.32635,KFFC
KAIA,ALLIANCE,42.05722,-102.8,KCYS
KALB,ALBANY COUNTY ARPT,42.75757,-73.80361,KALY
KALI,ALICE INTL AIRPORT,27.74089,-98.02694,KCRP
KALO,WATERLOO,42.554365,-92.401293,KDMX
KALS,ALAMOSA MUNI(AWOS),37.43889,-105.86139,KPUB
KALW,WALLA WALLA RGN,46.09478,-118.289,KPDT
KAMA,AMARILLO ARPT(AWOS),35.21936,-101.70592,KAMA
KANB,ANNISTON,33.59043824,-85.84788542,KBMX
KAND,ANDERSON CO AIRPORT,34.49458,-82.70939,KGSP
KAOO,ALTOONA/BLAIR CO.,40.29636,-78.32003,KCTP
KAPA,DENVER/CENTENNIAL,39.57,-104.85,KBOU
KAPC,NAPA COUNTY,38.20746359,-122.28040032,KMTR
KAPF,NAPLES MUNICIPAL,26.1525,-81.77528,KMFL
KAPN,ALPENA,45.07167,-83.56444,KAPX
KARA,NEW IBERIA - ACADIANA,30.02918109,-91.88452764,KLCH
KART,WATERTOWN INTL ARPT,43.98883,-76.0262,KBUF
KASD,SLIDELL,30.3433,-89.8222,KLIX
KASE,ASPEN/SARDY FIELD,39.22317,-106.86886,KGJT
KASN,TALLADEGA,33.5695,-86.0512,KBMX
KAST,ASTORIA/CLATSOP,46.1569,-123.8825,KPQR
KATL,ATLANTA INTL ARPT,33.6301,-84.4418,KFFC
KATW,APPLETON/OUTAGAM,44.25808,-88.51908,KGRB
KATY,WATERTOWN,44.91397,-97.15472,KABR
